"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"safeocs.gov","safeocs.gov","https://safeocs.gov","Department of Transportation","dotgov","Yes"
"safercar.gov","safercar.gov","https://www.safercar.gov","Department of Transportation","dotgov","No"
"saferproducts.gov","saferproducts.gov","https://saferproducts.gov","Consumer Product Safety Commission","dotgov","Yes"
"safertruck.gov","safertruck.gov","https://www.safertruck.gov","Department of Transportation","dotgov","No"
"safetyact.gov","safetyact.gov","https://safetyact.gov","Department of Homeland Security","dotgov","Yes"
"salmonrecovery.gov","salmonrecovery.gov","https://www.salmonrecovery.gov","Department of Energy","dotgov","No"
"sam.gov","sam.gov","https://www.sam.gov","General Services Administration","dotgov","Yes"
"samhsa.gov","samhsa.gov","https://www.samhsa.gov","Department of Health and Human Services","dotgov","Yes"
"sandia.gov","sandia.gov","http://www.sandia.gov","Department of Energy","dotgov","No"
"savingsbond.gov","savingsbond.gov","https://savingsbond.gov","Department of the Treasury","dotgov","Yes"
"savingsbonds.gov","savingsbonds.gov","https://savingsbonds.gov","Department of the Treasury","dotgov","Yes"
"savingsbondwizard.gov","savingsbondwizard.gov","https://savingsbondwizard.gov","Department of the Treasury","dotgov","Yes"
"sba.gov","sba.gov","https://www.sba.gov","Small Business Administration","dotgov","Yes"
"sbir.gov","sbir.gov","https://www.sbir.gov","Small Business Administration","dotgov","No"
"sbst.gov","sbst.gov","https://sbst.gov","General Services Administration","dotgov","Yes"
"scidac.gov","scidac.gov","https://www.scidac.gov","Department of Energy","dotgov","No"
"science.gov","science.gov","https://www.science.gov","Department of Energy","dotgov","No"
"science360.gov","science360.gov","https://science360.gov","National Science Foundation","dotgov","Yes"
"sciencebase.gov","sciencebase.gov","https://www.sciencebase.gov","Department of the Interior","dotgov","Yes"
"scijinks.gov","scijinks.gov","https://scijinks.gov","National Aeronautics and Space Administration","dotgov","Yes"
"sdr.gov","sdr.gov","https://www.sdr.gov","Department of Commerce","dotgov","Yes"
"search.gov","search.gov","https://search.gov","General Services Administration","dotgov","Yes"
"sec.gov","sec.gov","https://www.sec.gov","Securities and Exchange Commission","dotgov","Yes"
"secretservice.gov","secretservice.gov","https://www.secretservice.gov","Department of Homeland Security","dotgov","Yes"
"section508.gov","section508.gov","https://section508.gov","General Services Administration","dotgov","Yes"
"selectagents.gov","selectagents.gov","https://www.selectagents.gov","Department of Health and Human Services","dotgov","No"
"selectusa.gov","selectusa.gov","https://www.selectusa.gov","Department of Commerce","dotgov","Yes"
"sen.gov","sen.gov","http://sen.gov","The Legislative Branch","dotgov","No"
"senate.gov","senate.gov","https://www.senate.gov","The Legislative Branch","dotgov","No"
"sftool.gov","sftool.gov","https://sftool.gov","General Services Administration","dotgov","Yes"
"sierrawild.gov","sierrawild.gov","https://www.sierrawild.gov","Department of the Interior","dotgov","Yes"
"sigtarp.gov","sigtarp.gov","https://www.sigtarp.gov","Department of the Treasury","dotgov","Yes"
"siteidiq.gov","siteidiq.gov","https://www.siteidiq.gov","Department of Defense","dotgov","No"
"sji.gov","sji.gov","http://www.sji.gov","State Justice Institute","dotgov","No"
"slgs.gov","slgs.gov","https://slgs.gov","Department of the Treasury","dotgov","Yes"
"smart.gov","smart.gov","https://smart.gov","Department of Justice","dotgov","Yes"
"smartcheck.gov","smartcheck.gov","https://smartcheck.gov","Commodity Futures Trading Commission","dotgov","Yes"
"smarterskies.gov","smarterskies.gov","http://www.smarterskies.gov","Department of Transportation","dotgov","Yes"
"smartgrid.gov","smartgrid.gov","https://www.smartgrid.gov","Department of Energy","dotgov","No"
"smokefree.gov","smokefree.gov","https://smokefree.gov","Department of Health and Human Services","dotgov","Yes"
"snap.gov","snap.gov","https://snap.gov","Department of the Interior","dotgov","Yes"
"solardecathlon.gov","solardecathlon.gov","https://www.solardecathlon.gov","Department of Energy","dotgov","No"
"speaker.gov","speaker.gov","https://www.speaker.gov","The Legislative Branch","dotgov","No"
"srs.gov","srs.gov","https://www.srs.gov","Department of Energy","dotgov","No"
"ssa.gov","ssa.gov","https://www.ssa.gov","Social Security Administration","dotgov","Yes"
"ssab.gov","ssab.gov","http://ssab.gov","Social Security Advisory Board","dotgov","No"
"sss.gov","sss.gov","https://www.sss.gov","Selective Service System","dotgov","No"
"state.gov","state.gov","https://www.state.gov","Department of State","dotgov","Yes"
"stateoig.gov","stateoig.gov","https://www.stateoig.gov","Department of State, Office of Inspector General","dotgov","No"
"stb.gov","stb.gov","http://www.stb.gov","Surface Transportation Board","dotgov","No"
"stopbullying.gov","stopbullying.gov","https://www.stopbullying.gov","Department of Health and Human Services","dotgov","Yes"
"stopfakes.gov","stopfakes.gov","https://www.stopfakes.gov","Department of Commerce","dotgov","Yes"
"stopfraud.gov","stopfraud.gov","https://www.stopfraud.gov","Department of Justice","dotgov","Yes"
"studentloans.gov","studentloans.gov","https://studentloans.gov","Department of Education","dotgov","Yes"
"surgeongeneral.gov","surgeongeneral.gov","http://www.surgeongeneral.gov","Department of Health and Human Services","dotgov","Yes"
"sustainability.gov","sustainability.gov","https://www.sustainability.gov","Environmental Protection Agency","dotgov","Yes"
"sustainablecommunities.gov","sustainablecommunities.gov","https://www.sustainablecommunities.gov","Department of Transportation","dotgov","Yes"
"sworm.gov","sworm.gov","https://www.sworm.gov","Department of Commerce","dotgov","No"
"swpa.gov","swpa.gov","https://swpa.gov","Department of Energy","dotgov","Yes"
"symbols.gov","symbols.gov","https://symbols.gov","U.S. Department of Agriculture","dotgov","Yes"
"taaps.gov","taaps.gov","https://taaps.gov","Department of the Treasury","dotgov","Yes"
"tax.gov","tax.gov","https://www.tax.gov","Department of the Treasury","dotgov","No"
"telework.gov","telework.gov","https://telework.gov","Office of Personnel Management","dotgov","Yes"
"thecoolspot.gov","thecoolspot.gov","https://www.thecoolspot.gov","Department of Health and Human Services","dotgov","No"
"time.gov","time.gov","https://time.gov","Department of Commerce","dotgov","Yes"
"tox21.gov","tox21.gov","https://tox21.gov","Department of Health and Human Services","dotgov","No"
"trade.gov","trade.gov","https://www.trade.gov","Department of Commerce","dotgov","Yes"
"trafficsafetymarketing.gov","trafficsafetymarketing.gov","https://www.trafficsafetymarketing.gov","Department of Transportation","dotgov","Yes"
"transportation.gov","transportation.gov","https://www.transportation.gov","Department of Transportation","dotgov","Yes"
"treaslockbox.gov","treaslockbox.gov","https://treaslockbox.gov","Department of the Treasury","dotgov","No"
"treasury.gov","treasury.gov","https://www.treasury.gov","Department of the Treasury","dotgov","Yes"
"treasuryauctions.gov","treasuryauctions.gov","https://treasuryauctions.gov","Department of the Treasury","dotgov","Yes"
"treasurydirect.gov","treasurydirect.gov","https://treasurydirect.gov","Department of the Treasury","dotgov","Yes"
"treasuryhunt.gov","treasuryhunt.gov","https://treasuryhunt.gov","Department of the Treasury","dotgov","Yes"
"treasuryscams.gov","treasuryscams.gov","https://treasuryscams.gov","Department of the Treasury","dotgov","Yes"
"truman.gov","truman.gov","https://truman.gov","Harry S. Truman Scholarship Foundation","dotgov","No"
"tsa.gov","tsa.gov","https://www.tsa.gov","Department of Homeland Security","dotgov","Yes"
"tsp.gov","tsp.gov","https://www.tsp.gov","Federal Retirement Thrift Investment Board","dotgov","No"
"tsunami.gov","tsunami.gov","https://tsunami.gov","Department of Commerce","dotgov","Yes"
"tswg.gov","tswg.gov","https://tswg.gov","Department of Defense","dotgov","No"
"ttb.gov","ttb.gov","https://ttb.gov","Department of the Treasury","dotgov","Yes"
"ttbonline.gov","ttbonline.gov","https://ttbonline.gov","Department of the Treasury","dotgov","No"
"tva.gov","tva.gov","https://www.tva.gov","Tennessee Valley Authority","dotgov","No"
"ucrdatatool.gov","ucrdatatool.gov","https://ucrdatatool.gov","Department of Justice","dotgov","No"
"udall.gov","udall.gov","https://udall.gov","Morris K. Udall and Stewart L. Udall Foundation","dotgov","No"
"unicor.gov","unicor.gov","https://unicor.gov","Department of Justice","dotgov","Yes"
"unlocktalent.gov","unlocktalent.gov","https://unlocktalent.gov","Office of Personnel Management","dotgov","No"
"us-cert.gov","us-cert.gov","https://www.us-cert.gov","Department of Homeland Security","dotgov","Yes"
"usa.gov","usa.gov","https://www.usa.gov","General Services Administration","dotgov","Yes"
"usability.gov","usability.gov","https://www.usability.gov","Department of Health and Human Services","dotgov","Yes"
"usadf.gov","usadf.gov","https://www.usadf.gov","United States African Development Foundation","dotgov","No"
"usaid.gov","usaid.gov","https://www.usaid.gov","U.S. Agency for International Development","dotgov","Yes"
"usajobs.gov","usajobs.gov","https://www.usajobs.gov","Office of Personnel Management","dotgov","Yes"
"usalearning.gov","usalearning.gov","https://usalearning.gov","Office of Personnel Management","dotgov","Yes"
"usap.gov","usap.gov","https://www.usap.gov","National Science Foundation","dotgov","Yes"
"usaseanconnect.gov","usaseanconnect.gov","http://usaseanconnect.gov","Department of State","dotgov","No"
"usaspending.gov","usaspending.gov","https://www.usaspending.gov","Department of the Treasury","dotgov","Yes"
"usastaffing.gov","usastaffing.gov","https://usastaffing.gov","Office of Personnel Management","dotgov","Yes"
"usbr.gov","usbr.gov","https://usbr.gov","Department of the Interior","dotgov","Yes"
"usccr.gov","usccr.gov","http://usccr.gov","U.S. Commission on Civil Rights","dotgov","Yes"
"uscirf.gov","uscirf.gov","http://www.uscirf.gov","U.S. Commission on International Religious Freedom","dotgov","Yes"
"uscis.gov","uscis.gov","https://www.uscis.gov","Department of Homeland Security","dotgov","Yes"
"uscourts.gov","uscourts.gov","http://www.uscourts.gov","U.S. Courts","dotgov","Yes"
"uscurrency.gov","uscurrency.gov","https://www.uscurrency.gov","Federal Reserve Board of Governors","dotgov","No"
"usda.gov","usda.gov","https://www.usda.gov","U.S. Department of Agriculture","dotgov","Yes"
"usdebitcard.gov","usdebitcard.gov","https://www.usdebitcard.gov","Department of the Treasury","dotgov","Yes"
"usds.gov","usds.gov","https://www.usds.gov","Executive Office of the President","dotgov","Yes"
"usembassy.gov","usembassy.gov","https://www.usembassy.gov","Department of State","dotgov","Yes"
"usgs.gov","usgs.gov","https://www.usgs.gov","Department of the Interior","dotgov","Yes"
"usich.gov","usich.gov","https://www.usich.gov","United States Interagency Council on Homelessness","dotgov","No"
"usitc.gov","usitc.gov","https://usitc.gov","United States International Trade Commission","dotgov","Yes"
"usmarshals.gov","usmarshals.gov","https://www.usmarshals.gov","Department of Justice","dotgov","Yes"
"usmint.gov","usmint.gov","https://www.usmint.gov","Department of the Treasury","dotgov","Yes"
"usphs.gov","usphs.gov","http://usphs.gov","Department of Health and Human Services","dotgov","No"
"uspis.gov","uspis.gov","http://uspis.gov","United States Postal Service","dotgov","No"
"uspsoig.gov","uspsoig.gov","https://uspsoig.gov","United States Postal Service, Office of Inspector General","dotgov","No"
"uspto.gov","uspto.gov","https://www.uspto.gov","Department of Commerce","dotgov","Yes"
"ussc.gov","ussc.gov","https://www.ussc.gov","U.S. Courts","dotgov","No"
"ussm.gov","ussm.gov","https://www.ussm.gov","General Services Administration","dotgov","Yes"
"ustaxcourt.gov","ustaxcourt.gov","https://ustaxcourt.gov","U.S. Courts","dotgov","No"
"ustda.gov","ustda.gov","https://ustda.gov","United States Trade and Development Agency","dotgov","Yes"
"ustr.gov","ustr.gov","https://ustr.gov","Executive Office of the President","dotgov","No"
"utahfireinfo.gov","utahfireinfo.gov","https://www.utahfireinfo.gov","Department of the Interior","dotgov","Yes"
"va.gov","va.gov","https://va.gov","Department of Veterans Affairs","dotgov","Yes"
"vaccines.gov","vaccines.gov","https://www.vaccines.gov","Department of Health and Human Services","dotgov","Yes"
"vcf.gov","vcf.gov","https://www.vcf.gov","Department of Justice","dotgov","Yes"
"vef.gov","vef.gov","http://vef.gov","Vietnam Education Foundation","dotgov","Yes"
"vehiclehistory.gov","vehiclehistory.gov","https://www.vehiclehistory.gov","Department of Justice","dotgov","Yes"
"vetbiz.gov","vetbiz.gov","https://vetbiz.gov","Department of Veterans Affairs","dotgov","Yes"
"veterans.gov","veterans.gov","https://veterans.gov","Department of Labor","dotgov","Yes"
"vets.gov","vets.gov","https://www.vets.gov","Department of Veterans Affairs","dotgov","Yes"
"vistacampus.gov","vistacampus.gov","https://www.vistacampus.gov","Corporation for National & Community Service","dotgov","Yes"
"volunteer.gov","volunteer.gov","https://www.volunteer.gov","Department of the Interior","dotgov","Yes"
"vote.gov","vote.gov","https://vote.gov","General Services Administration","dotgov","Yes"
"wapa.gov","wapa.gov","https://www.wapa.gov","Department of Energy","dotgov","No"
"watermonitor.gov","watermonitor.gov","https://watermonitor.gov","Department of the Interior","dotgov","No"
"wdol.gov","wdol.gov","https://wdol.gov","Department of Commerce","dotgov","No"
"weather.gov","weather.gov","https://www.weather.gov","Department of Commerce","dotgov","Yes"
"webharvest.gov","webharvest.gov","https://www.webharvest.gov","National Archives and Records Administration","dotgov","Yes"
"whistleblower.gov","whistleblower.gov","https://whistleblower.gov","Commodity Futures Trading Commission","dotgov","Yes"
"whistleblowers.gov","whistleblowers.gov","https://www.whistleblowers.gov","Department of Labor","dotgov","Yes"
"whitehouse.gov","whitehouse.gov","https://www.whitehouse.gov","Executive Office of the President","dotgov","Yes"
"whitehouseconferenceonaging.gov","whitehouseconferenceonaging.gov","https://whitehouseconferenceonaging.gov","Department of Health and Human Services","dotgov","No"
"wildlifeadaptationstrategy.gov","wildlifeadaptationstrategy.gov","https://wildlifeadaptationstrategy.gov","Department of the Interior","dotgov","Yes"
"wizard.gov","wizard.gov","https://wizard.gov","Department of the Treasury","dotgov","Yes"
"wlci.gov","wlci.gov","https://www.wlci.gov","Department of the Interior","dotgov","Yes"
"womenshealth.gov","womenshealth.gov","https://www.womenshealth.gov","Department of Health and Human Services","dotgov","Yes"
"worker.gov","worker.gov","https://worker.gov","Department of Labor","dotgov","Yes"
"workplace.gov","workplace.gov","https://www.workplace.gov","Department of the Treasury","dotgov","No"
"wrp.gov","wrp.gov","https://wrp.gov","Department of Labor","dotgov","Yes"
"youth.gov","youth.gov","https://youth.gov","Department of Health and Human Services","dotgov","No"
"youthrules.gov","youthrules.gov","https://www.youthrules.gov","Department of Labor","dotgov","Yes"
